Loaded PyTorch resnet18 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 4, 22228), 'uptime': datetime.timedelta(seconds=13277, microseconds=460000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 1, 'CPU4': 2, 'CPU5': 5, 'CPU6': 2, 'RAM': 0.5959363097160492, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 36.625, 'Temp soc1': 36.718, 'Temp soc2': 38.531, 'Temp tj': 38.875, 'Power VDD_CPU_GPU_CV': 958, 'Power VDD_SOC': 1320, 'Power TOT': 4160, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 5, 24086), 'uptime': datetime.timedelta(seconds=13278, microseconds=460000), 'CPU1': 1, 'CPU2': 1, 'CPU3': 2, 'CPU4': 2, 'CPU5': 5, 'CPU6': 1, 'RAM': 0.5959076019254725, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.437, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.687, 'Temp soc0': 36.437, 'Temp soc1': 36.781, 'Temp soc2': 38.468, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 955, 'Power VDD_SOC': 1313, 'Power TOT': 4259, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 6, 24890), 'uptime': datetime.timedelta(seconds=13279, microseconds=460000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5960916393686336, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.937, 'Temp soc0': 36.562, 'Temp soc1': 37.0, 'Temp soc2': 38.468, 'Temp tj': 38.937, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 7, 26671), 'uptime': datetime.timedelta(seconds=13280, microseconds=460000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 2, 'CPU4': 0, 'CPU5': 4, 'CPU6': 2, 'RAM': 0.596097791038043, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.687, 'Temp soc0': 36.562, 'Temp soc1': 36.843, 'Temp soc2': 38.437, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 8, 28483), 'uptime': datetime.timedelta(seconds=13281, microseconds=460000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 1, 'CPU5': 4, 'CPU6': 1, 'RAM': 0.5958870963607749, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.5, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.562, 'Temp soc0': 36.656, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.562, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 9, 30266), 'uptime': datetime.timedelta(seconds=13282, microseconds=460000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 1, 'CPU4': 1, 'CPU5': 6, 'CPU6': 2, 'RAM': 0.5959516888895724, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.687, 'Temp soc0': 36.593, 'Temp soc1': 36.75, 'Temp soc2': 38.437, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 10, 32090), 'uptime': datetime.timedelta(seconds=13283, microseconds=460000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 0, 'CPU4': 2, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5959281074901701, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.593, 'Temp soc1': 36.718, 'Temp soc2': 38.468, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 11, 34011), 'uptime': datetime.timedelta(seconds=13284, microseconds=470000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 3, 'CPU4': 3, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5959445119419282, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.437, 'Temp soc1': 36.75, 'Temp soc2': 38.437, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 12, 35887), 'uptime': datetime.timedelta(seconds=13285, microseconds=470000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 0, 'CPU4': 1, 'CPU5': 6, 'CPU6': 1, 'RAM': 0.5961008668727475, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.531, 'Temp soc1': 36.656, 'Temp soc2': 38.375, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 13, 37796), 'uptime': datetime.timedelta(seconds=13286, microseconds=470000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5961321378589115, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.593, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.593, 'Temp soc1': 36.656, 'Temp soc2': 38.468, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 14, 39655), 'uptime': datetime.timedelta(seconds=13287, microseconds=470000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 2, 'CPU4': 1, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5961321378589115, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.312, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 36.406, 'Temp soc1': 36.937, 'Temp soc2': 38.5, 'Temp tj': 38.593, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 15, 41557), 'uptime': datetime.timedelta(seconds=13288, microseconds=470000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 0, 'CPU4': 1, 'CPU5': 4, 'CPU6': 0, 'RAM': 0.5961644341233102, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.937, 'Temp soc0': 36.468, 'Temp soc1': 36.843, 'Temp soc2': 38.531, 'Temp tj': 38.937, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
