Loaded PyTorch resnet18 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 28, 0, 31, 40, 716163), 'uptime': datetime.timedelta(seconds=22494, microseconds=160000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 3, 'CPU4': 2, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5389692877904741, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.656, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 36.843, 'Temp soc1': 37.0, 'Temp soc2': 38.718, 'Temp tj': 38.875, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 41, 717940), 'uptime': datetime.timedelta(seconds=22495, microseconds=160000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 4, 'CPU4': 4, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.5389949197463462, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.687, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.031, 'Temp soc0': 36.781, 'Temp soc1': 36.937, 'Temp soc2': 38.687, 'Temp tj': 39.031, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 42, 719615), 'uptime': datetime.timedelta(seconds=22496, microseconds=160000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 3, 'CPU4': 3, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5390431078233856, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.593, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.75, 'Temp soc1': 36.968, 'Temp soc2': 38.625, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 43, 721330), 'uptime': datetime.timedelta(seconds=22497, microseconds=160000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.5389785152945881, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.093, 'Temp soc0': 36.781, 'Temp soc1': 37.093, 'Temp soc2': 38.718, 'Temp tj': 39.093, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 44, 723014), 'uptime': datetime.timedelta(seconds=22498, microseconds=170000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.5390144000328089, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.5, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.906, 'Temp soc0': 36.781, 'Temp soc1': 37.062, 'Temp soc2': 38.656, 'Temp tj': 38.906, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 45, 724710), 'uptime': datetime.timedelta(seconds=22499, microseconds=170000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 0, 'CPU5': 1, 'CPU6': 4, 'RAM': 0.5389672372340044, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.781, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.843, 'Temp soc1': 37.062, 'Temp soc2': 38.687, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 46, 726419), 'uptime': datetime.timedelta(seconds=22500, microseconds=170000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 2, 'CPU5': 3, 'CPU6': 5, 'RAM': 0.5388734242755128, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.687, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.906, 'Temp soc0': 36.812, 'Temp soc1': 37.0, 'Temp soc2': 38.656, 'Temp tj': 38.906, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 47, 728121), 'uptime': datetime.timedelta(seconds=22501, microseconds=170000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 0, 'CPU4': 1, 'CPU5': 1, 'CPU6': 5, 'RAM': 0.5386468377856041, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.687, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.812, 'Temp soc1': 36.906, 'Temp soc2': 38.625, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 48, 729800), 'uptime': datetime.timedelta(seconds=22502, microseconds=170000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5387262968488074, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.593, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.968, 'Temp soc0': 36.781, 'Temp soc1': 36.937, 'Temp soc2': 38.562, 'Temp tj': 38.968, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 49, 731489), 'uptime': datetime.timedelta(seconds=22503, microseconds=170000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 2, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.5387262968488074, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.531, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.812, 'Temp soc0': 36.656, 'Temp soc1': 36.906, 'Temp soc2': 38.625, 'Temp tj': 38.812, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 31, 50, 733301), 'uptime': datetime.timedelta(seconds=22504, microseconds=170000), 'CPU1': 1, 'CPU2': 1, 'CPU3': 5, 'CPU4': 0, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.5386975890582307, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.593, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.031, 'Temp soc0': 36.656, 'Temp soc1': 36.906, 'Temp soc2': 38.656, 'Temp tj': 39.031, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
