Device: cpu
Before loading model: 2024-11-29 01:12:03.843670+00:00
After loading model: 2024-11-29 01:12:05.690301+00:00
Loaded PyTorch mobilenetv3 pretrained on ImageNet
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 29, 1, 12, 9, 471515), 'uptime': datetime.timedelta(seconds=7641, microseconds=580000), 'CPU1': 69, 'CPU2': 66, 'CPU3': 76, 'CPU4': 61, 'CPU5': 64, 'CPU6': 62, 'RAM': 0.37306882535470764, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.437, 'Temp soc0': 34.343, 'Temp soc1': 34.656, 'Temp soc2': 36.093, 'Temp tj': 36.625, 'Power VDD_CPU_GPU_CV': 1861, 'Power VDD_SOC': 1309, 'Power TOT': 5118, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 9, 675233), 'uptime': datetime.timedelta(seconds=7641, microseconds=580000), 'CPU1': 69, 'CPU2': 66, 'CPU3': 76, 'CPU4': 61, 'CPU5': 64, 'CPU6': 62, 'RAM': 0.37306882535470764, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.437, 'Temp soc0': 34.343, 'Temp soc1': 34.656, 'Temp soc2': 36.093, 'Temp tj': 36.625, 'Power VDD_CPU_GPU_CV': 1861, 'Power VDD_SOC': 1309, 'Power TOT': 5118, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 9, 856618), 'uptime': datetime.timedelta(seconds=7641, microseconds=580000), 'CPU1': 69, 'CPU2': 66, 'CPU3': 76, 'CPU4': 61, 'CPU5': 64, 'CPU6': 62, 'RAM': 0.37306882535470764, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.437, 'Temp soc0': 34.343, 'Temp soc1': 34.656, 'Temp soc2': 36.093, 'Temp tj': 36.625, 'Power VDD_CPU_GPU_CV': 1861, 'Power VDD_SOC': 1309, 'Power TOT': 5118, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 10, 59644), 'uptime': datetime.timedelta(seconds=7641, microseconds=580000), 'CPU1': 69, 'CPU2': 66, 'CPU3': 76, 'CPU4': 61, 'CPU5': 64, 'CPU6': 62, 'RAM': 0.37306882535470764, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.437, 'Temp soc0': 34.343, 'Temp soc1': 34.656, 'Temp soc2': 36.093, 'Temp tj': 36.625, 'Power VDD_CPU_GPU_CV': 1861, 'Power VDD_SOC': 1309, 'Power TOT': 5118, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 10, 316872), 'uptime': datetime.timedelta(seconds=7642, microseconds=580000), 'CPU1': 99, 'CPU2': 63, 'CPU3': 50, 'CPU4': 66, 'CPU5': 65, 'CPU6': 65, 'RAM': 0.3733907625554227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.375, 'Temp soc0': 34.375, 'Temp soc1': 34.562, 'Temp soc2': 36.125, 'Temp tj': 36.562, 'Power VDD_CPU_GPU_CV': 1743, 'Power VDD_SOC': 1309, 'Power TOT': 5039, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 10, 528028), 'uptime': datetime.timedelta(seconds=7642, microseconds=580000), 'CPU1': 99, 'CPU2': 63, 'CPU3': 50, 'CPU4': 66, 'CPU5': 65, 'CPU6': 65, 'RAM': 0.3733907625554227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.375, 'Temp soc0': 34.375, 'Temp soc1': 34.562, 'Temp soc2': 36.125, 'Temp tj': 36.562, 'Power VDD_CPU_GPU_CV': 1743, 'Power VDD_SOC': 1309, 'Power TOT': 5039, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 10, 718052), 'uptime': datetime.timedelta(seconds=7642, microseconds=580000), 'CPU1': 99, 'CPU2': 63, 'CPU3': 50, 'CPU4': 66, 'CPU5': 65, 'CPU6': 65, 'RAM': 0.3733907625554227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.375, 'Temp soc0': 34.375, 'Temp soc1': 34.562, 'Temp soc2': 36.125, 'Temp tj': 36.562, 'Power VDD_CPU_GPU_CV': 1743, 'Power VDD_SOC': 1309, 'Power TOT': 5039, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 10, 999995), 'uptime': datetime.timedelta(seconds=7642, microseconds=580000), 'CPU1': 99, 'CPU2': 63, 'CPU3': 50, 'CPU4': 66, 'CPU5': 65, 'CPU6': 65, 'RAM': 0.3733907625554227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.375, 'Temp soc0': 34.375, 'Temp soc1': 34.562, 'Temp soc2': 36.125, 'Temp tj': 36.562, 'Power VDD_CPU_GPU_CV': 1743, 'Power VDD_SOC': 1309, 'Power TOT': 5039, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 11, 262026), 'uptime': datetime.timedelta(seconds=7643, microseconds=590000), 'CPU1': 98, 'CPU2': 68, 'CPU3': 63, 'CPU4': 60, 'CPU5': 56, 'CPU6': 69, 'RAM': 0.37326055228634364, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.843, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.593, 'Temp soc0': 34.375, 'Temp soc1': 34.625, 'Temp soc2': 36.218, 'Temp tj': 36.843, 'Power VDD_CPU_GPU_CV': 1782, 'Power VDD_SOC': 1309, 'Power TOT': 5079, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 12, 11, 489351), 'uptime': datetime.timedelta(seconds=7643, microseconds=590000), 'CPU1': 98, 'CPU2': 68, 'CPU3': 63, 'CPU4': 60, 'CPU5': 56, 'CPU6': 69, 'RAM': 0.37326055228634364, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 36.843, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 36.593, 'Temp soc0': 34.375, 'Temp soc1': 34.625, 'Temp soc2': 36.218, 'Temp tj': 36.843, 'Power VDD_CPU_GPU_CV': 1782, 'Power VDD_SOC': 1309, 'Power TOT': 5079, 'jetson_clocks': 'OFF', 'nvp model': '15W'}
