Loaded PyTorch squeezenet pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 17, 42, 42, 64081), 'uptime': datetime.timedelta(0, 11253, 190000), 'CPU1': 9, 'CPU2': 3, 'CPU3': 5, 'CPU4': 0, 'RAM': 0.8576935584000946, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 814, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 43, 66354), 'uptime': datetime.timedelta(0, 11254, 200000), 'CPU1': 8, 'CPU2': 6, 'CPU3': 2, 'CPU4': 1, 'RAM': 0.8577014416491757, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 814, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 44, 68093), 'uptime': datetime.timedelta(0, 11255, 200000), 'CPU1': 7, 'CPU2': 6, 'CPU3': 1, 'CPU4': 3, 'RAM': 0.8577625368295543, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 45, 70372), 'uptime': datetime.timedelta(0, 11256, 200000), 'CPU1': 8, 'CPU2': 6, 'CPU3': 0, 'CPU4': 2, 'RAM': 0.8576708940589864, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 36.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 46, 72606), 'uptime': datetime.timedelta(0, 11257, 200000), 'CPU1': 9, 'CPU2': 1, 'CPU3': 6, 'CPU4': 1, 'RAM': 0.8576620254037701, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 36.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 47, 74811), 'uptime': datetime.timedelta(0, 11258, 200000), 'CPU1': 6, 'CPU2': 2, 'CPU3': 2, 'CPU4': 6, 'RAM': 0.8577310038332299, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.0, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 48, 77097), 'uptime': datetime.timedelta(0, 11259, 200000), 'CPU1': 3, 'CPU2': 3, 'CPU3': 6, 'CPU4': 9, 'RAM': 0.857667937840581, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 49, 79326), 'uptime': datetime.timedelta(0, 11260, 200000), 'CPU1': 4, 'CPU2': 1, 'CPU3': 5, 'CPU4': 6, 'RAM': 0.8577901282013382, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.0, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 50, 81599), 'uptime': datetime.timedelta(0, 11261, 200000), 'CPU1': 7, 'CPU2': 2, 'CPU3': 2, 'CPU4': 6, 'RAM': 0.8578127925424464, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.0, 'Temp GPU': 36.5, 'Temp PLL': 35.5, 'Temp thermal': 36.25, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 51, 83894), 'uptime': datetime.timedelta(0, 11262, 200000), 'CPU1': 3, 'CPU2': 7, 'CPU3': 2, 'CPU4': 7, 'RAM': 0.8577901282013382, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.0, 'Temp GPU': 36.5, 'Temp PLL': 35.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 814, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
