Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
5,mobilenetv3,gpu,2024-11-12 02:00:39.543577+00:00,2024-11-12 02:00:39.548802+00:00,2024-11-12 02:00:39.553378+00:00,cat_2.jpg,356x500,0.0275,99.131,Persian cat,Persian cat
5,mobilenetv3,gpu,2024-11-12 02:00:39.572590+00:00,2024-11-12 02:00:39.577024+00:00,2024-11-12 02:00:39.581625+00:00,dog_0.jpg,375x500,0.0267,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
5,mobilenetv3,gpu,2024-11-12 02:00:39.600763+00:00,2024-11-12 02:00:39.605325+00:00,2024-11-12 02:00:39.611140+00:00,dog_1.jpg,375x500,0.0287,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
6,mobilenetv3,gpu,2024-11-12 02:00:39.631147+00:00,2024-11-12 02:00:39.633478+00:00,2024-11-12 02:00:39.637845+00:00,1.jpg,499x381,0.0244,40.294,Italian greyhound,Italian greyhound
6,mobilenetv3,gpu,2024-11-12 02:00:39.656911+00:00,2024-11-12 02:00:39.664246+00:00,2024-11-12 02:00:39.669591+00:00,cat_0.jpg,640x481,0.0306,14.489,water jug,water jug
6,mobilenetv3,gpu,2024-11-12 02:00:39.688919+00:00,2024-11-12 02:00:39.691314+00:00,2024-11-12 02:00:39.695679+00:00,cat_1.jpg,441x350,0.0244,53.58,"tabby, tabby cat","tabby, tabby cat"
6,mobilenetv3,gpu,2024-11-12 02:00:39.714703+00:00,2024-11-12 02:00:39.719952+00:00,2024-11-12 02:00:39.725940+00:00,cat_2.jpg,356x500,0.0288,99.131,Persian cat,Persian cat
6,mobilenetv3,gpu,2024-11-12 02:00:39.744973+00:00,2024-11-12 02:00:39.749483+00:00,2024-11-12 02:00:39.754115+00:00,dog_0.jpg,375x500,0.0263,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
6,mobilenetv3,gpu,2024-11-12 02:00:39.772734+00:00,2024-11-12 02:00:39.777359+00:00,2024-11-12 02:00:39.781894+00:00,dog_1.jpg,375x500,0.0266,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
7,mobilenetv3,gpu,2024-11-12 02:00:39.800896+00:00,2024-11-12 02:00:39.803167+00:00,2024-11-12 02:00:39.807498+00:00,1.jpg,499x381,0.0251,40.294,Italian greyhound,Italian greyhound
7,mobilenetv3,gpu,2024-11-12 02:00:39.827950+00:00,2024-11-12 02:00:39.835300+00:00,2024-11-12 02:00:39.841050+00:00,cat_0.jpg,640x481,0.0308,14.489,water jug,water jug
7,mobilenetv3,gpu,2024-11-12 02:00:39.860175+00:00,2024-11-12 02:00:39.862518+00:00,2024-11-12 02:00:39.866729+00:00,cat_1.jpg,441x350,0.0243,53.58,"tabby, tabby cat","tabby, tabby cat"
7,mobilenetv3,gpu,2024-11-12 02:00:39.885922+00:00,2024-11-12 02:00:39.891146+00:00,2024-11-12 02:00:39.895653+00:00,cat_2.jpg,356x500,0.0274,99.131,Persian cat,Persian cat
7,mobilenetv3,gpu,2024-11-12 02:00:39.914753+00:00,2024-11-12 02:00:39.919218+00:00,2024-11-12 02:00:39.923566+00:00,dog_0.jpg,375x500,0.0263,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
7,mobilenetv3,gpu,2024-11-12 02:00:39.942515+00:00,2024-11-12 02:00:39.947101+00:00,2024-11-12 02:00:39.952048+00:00,dog_1.jpg,375x500,0.027,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
8,mobilenetv3,gpu,2024-11-12 02:00:39.971104+00:00,2024-11-12 02:00:39.973405+00:00,2024-11-12 02:00:39.977753+00:00,1.jpg,499x381,0.024,40.294,Italian greyhound,Italian greyhound
8,mobilenetv3,gpu,2024-11-12 02:00:39.996554+00:00,2024-11-12 02:00:40.003866+00:00,2024-11-12 02:00:40.009011+00:00,cat_0.jpg,640x481,0.0299,14.489,water jug,water jug
8,mobilenetv3,gpu,2024-11-12 02:00:40.028829+00:00,2024-11-12 02:00:40.031395+00:00,2024-11-12 02:00:40.036752+00:00,cat_1.jpg,441x350,0.0254,53.58,"tabby, tabby cat","tabby, tabby cat"
8,mobilenetv3,gpu,2024-11-12 02:00:40.055605+00:00,2024-11-12 02:00:40.060857+00:00,2024-11-12 02:00:40.065430+00:00,cat_2.jpg,356x500,0.0272,99.131,Persian cat,Persian cat
8,mobilenetv3,gpu,2024-11-12 02:00:40.084225+00:00,2024-11-12 02:00:40.088679+00:00,2024-11-12 02:00:40.093311+00:00,dog_0.jpg,375x500,0.0265,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
8,mobilenetv3,gpu,2024-11-12 02:00:40.112158+00:00,2024-11-12 02:00:40.116734+00:00,2024-11-12 02:00:40.121316+00:00,dog_1.jpg,375x500,0.0265,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
9,mobilenetv3,gpu,2024-11-12 02:00:40.140339+00:00,2024-11-12 02:00:40.142593+00:00,2024-11-12 02:00:40.147204+00:00,1.jpg,499x381,0.0244,40.294,Italian greyhound,Italian greyhound
9,mobilenetv3,gpu,2024-11-12 02:00:40.166168+00:00,2024-11-12 02:00:40.173467+00:00,2024-11-12 02:00:40.178838+00:00,cat_0.jpg,640x481,0.0303,14.489,water jug,water jug
9,mobilenetv3,gpu,2024-11-12 02:00:40.197891+00:00,2024-11-12 02:00:40.200250+00:00,2024-11-12 02:00:40.204487+00:00,cat_1.jpg,441x350,0.0241,53.58,"tabby, tabby cat","tabby, tabby cat"
9,mobilenetv3,gpu,2024-11-12 02:00:40.223344+00:00,2024-11-12 02:00:40.228576+00:00,2024-11-12 02:00:40.235222+00:00,cat_2.jpg,356x500,0.0299,99.131,Persian cat,Persian cat
9,mobilenetv3,gpu,2024-11-12 02:00:40.254670+00:00,2024-11-12 02:00:40.259114+00:00,2024-11-12 02:00:40.265446+00:00,dog_0.jpg,375x500,0.0283,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
9,mobilenetv3,gpu,2024-11-12 02:00:40.284451+00:00,2024-11-12 02:00:40.288996+00:00,2024-11-12 02:00:40.295887+00:00,dog_1.jpg,375x500,0.0287,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
10,mobilenetv3,gpu,2024-11-12 02:00:40.314765+00:00,2024-11-12 02:00:40.317094+00:00,2024-11-12 02:00:40.323468+00:00,1.jpg,499x381,0.0262,40.294,Italian greyhound,Italian greyhound
10,mobilenetv3,gpu,2024-11-12 02:00:40.342320+00:00,2024-11-12 02:00:40.349619+00:00,2024-11-12 02:00:40.357036+00:00,cat_0.jpg,640x481,0.0323,14.489,water jug,water jug
10,mobilenetv3,gpu,2024-11-12 02:00:40.376039+00:00,2024-11-12 02:00:40.378409+00:00,2024-11-12 02:00:40.385148+00:00,cat_1.jpg,441x350,0.0275,53.58,"tabby, tabby cat","tabby, tabby cat"
10,mobilenetv3,gpu,2024-11-12 02:00:40.405031+00:00,2024-11-12 02:00:40.410463+00:00,2024-11-12 02:00:40.418291+00:00,cat_2.jpg,356x500,0.0332,99.131,Persian cat,Persian cat
10,mobilenetv3,gpu,2024-11-12 02:00:40.440327+00:00,2024-11-12 02:00:40.444977+00:00,2024-11-12 02:00:40.451548+00:00,dog_0.jpg,375x500,0.0292,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
10,mobilenetv3,gpu,2024-11-12 02:00:40.470972+00:00,2024-11-12 02:00:40.475714+00:00,2024-11-12 02:00:40.482517+00:00,dog_1.jpg,375x500,0.0292,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
11,mobilenetv3,gpu,2024-11-12 02:00:40.501849+00:00,2024-11-12 02:00:40.504241+00:00,2024-11-12 02:00:40.511334+00:00,1.jpg,499x381,0.0267,40.294,Italian greyhound,Italian greyhound
11,mobilenetv3,gpu,2024-11-12 02:00:40.529938+00:00,2024-11-12 02:00:40.537256+00:00,2024-11-12 02:00:40.545094+00:00,cat_0.jpg,640x481,0.0331,14.489,water jug,water jug
11,mobilenetv3,gpu,2024-11-12 02:00:40.564453+00:00,2024-11-12 02:00:40.566791+00:00,2024-11-12 02:00:40.570918+00:00,cat_1.jpg,441x350,0.0239,53.58,"tabby, tabby cat","tabby, tabby cat"
11,mobilenetv3,gpu,2024-11-12 02:00:40.589696+00:00,2024-11-12 02:00:40.594877+00:00,2024-11-12 02:00:40.599142+00:00,cat_2.jpg,356x500,0.0271,99.131,Persian cat,Persian cat
11,mobilenetv3,gpu,2024-11-12 02:00:40.618187+00:00,2024-11-12 02:00:40.622602+00:00,2024-11-12 02:00:40.627190+00:00,dog_0.jpg,375x500,0.028,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
11,mobilenetv3,gpu,2024-11-12 02:00:40.648066+00:00,2024-11-12 02:00:40.652752+00:00,2024-11-12 02:00:40.657147+00:00,dog_1.jpg,375x500,0.0269,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
12,mobilenetv3,gpu,2024-11-12 02:00:40.676630+00:00,2024-11-12 02:00:40.678871+00:00,2024-11-12 02:00:40.683546+00:00,1.jpg,499x381,0.0246,40.294,Italian greyhound,Italian greyhound
12,mobilenetv3,gpu,2024-11-12 02:00:40.702655+00:00,2024-11-12 02:00:40.709973+00:00,2024-11-12 02:00:40.717180+00:00,cat_0.jpg,640x481,0.0323,14.489,water jug,water jug
12,mobilenetv3,gpu,2024-11-12 02:00:40.736426+00:00,2024-11-12 02:00:40.738770+00:00,2024-11-12 02:00:40.745040+00:00,cat_1.jpg,441x350,0.0264,53.58,"tabby, tabby cat","tabby, tabby cat"
12,mobilenetv3,gpu,2024-11-12 02:00:40.764244+00:00,2024-11-12 02:00:40.769522+00:00,2024-11-12 02:00:40.776169+00:00,cat_2.jpg,356x500,0.0295,99.131,Persian cat,Persian cat
12,mobilenetv3,gpu,2024-11-12 02:00:40.795114+00:00,2024-11-12 02:00:40.799614+00:00,2024-11-12 02:00:40.805740+00:00,dog_0.jpg,375x500,0.0282,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
12,mobilenetv3,gpu,2024-11-12 02:00:40.824729+00:00,2024-11-12 02:00:40.829281+00:00,2024-11-12 02:00:40.835711+00:00,dog_1.jpg,375x500,0.03,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
13,mobilenetv3,gpu,2024-11-12 02:00:40.856878+00:00,2024-11-12 02:00:40.859128+00:00,2024-11-12 02:00:40.865419+00:00,1.jpg,499x381,0.0264,40.294,Italian greyhound,Italian greyhound
13,mobilenetv3,gpu,2024-11-12 02:00:40.884654+00:00,2024-11-12 02:00:40.891976+00:00,2024-11-12 02:00:40.900179+00:00,cat_0.jpg,640x481,0.0381,14.489,water jug,water jug
13,mobilenetv3,gpu,2024-11-12 02:00:40.924233+00:00,2024-11-12 02:00:40.926594+00:00,2024-11-12 02:00:40.931072+00:00,cat_1.jpg,441x350,0.0243,53.58,"tabby, tabby cat","tabby, tabby cat"
13,mobilenetv3,gpu,2024-11-12 02:00:40.949932+00:00,2024-11-12 02:00:40.955144+00:00,2024-11-12 02:00:40.959724+00:00,cat_2.jpg,356x500,0.0272,99.131,Persian cat,Persian cat
13,mobilenetv3,gpu,2024-11-12 02:00:40.978504+00:00,2024-11-12 02:00:40.982925+00:00,2024-11-12 02:00:40.987531+00:00,dog_0.jpg,375x500,0.0264,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
13,mobilenetv3,gpu,2024-11-12 02:00:41.006334+00:00,2024-11-12 02:00:41.010888+00:00,2024-11-12 02:00:41.015153+00:00,dog_1.jpg,375x500,0.0262,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
14,mobilenetv3,gpu,2024-11-12 02:00:41.034129+00:00,2024-11-12 02:00:41.036379+00:00,2024-11-12 02:00:41.040909+00:00,1.jpg,499x381,0.0256,40.294,Italian greyhound,Italian greyhound
14,mobilenetv3,gpu,2024-11-12 02:00:41.061690+00:00,2024-11-12 02:00:41.069013+00:00,2024-11-12 02:00:41.074199+00:00,cat_0.jpg,640x481,0.0301,14.489,water jug,water jug
14,mobilenetv3,gpu,2024-11-12 02:00:41.093217+00:00,2024-11-12 02:00:41.095565+00:00,2024-11-12 02:00:41.099670+00:00,cat_1.jpg,441x350,0.0239,53.58,"tabby, tabby cat","tabby, tabby cat"
14,mobilenetv3,gpu,2024-11-12 02:00:41.118475+00:00,2024-11-12 02:00:41.123682+00:00,2024-11-12 02:00:41.128266+00:00,cat_2.jpg,356x500,0.0273,99.131,Persian cat,Persian cat
14,mobilenetv3,gpu,2024-11-12 02:00:41.147146+00:00,2024-11-12 02:00:41.151579+00:00,2024-11-12 02:00:41.156131+00:00,dog_0.jpg,375x500,0.0264,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
14,mobilenetv3,gpu,2024-11-12 02:00:41.175088+00:00,2024-11-12 02:00:41.179683+00:00,2024-11-12 02:00:41.184243+00:00,dog_1.jpg,375x500,0.0266,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
15,mobilenetv3,gpu,2024-11-12 02:00:41.203259+00:00,2024-11-12 02:00:41.205498+00:00,2024-11-12 02:00:41.209759+00:00,1.jpg,499x381,0.0239,40.294,Italian greyhound,Italian greyhound
15,mobilenetv3,gpu,2024-11-12 02:00:41.228562+00:00,2024-11-12 02:00:41.235788+00:00,2024-11-12 02:00:41.241189+00:00,cat_0.jpg,640x481,0.0302,14.489,water jug,water jug
15,mobilenetv3,gpu,2024-11-12 02:00:41.260202+00:00,2024-11-12 02:00:41.262618+00:00,2024-11-12 02:00:41.269053+00:00,cat_1.jpg,441x350,0.0268,53.58,"tabby, tabby cat","tabby, tabby cat"
15,mobilenetv3,gpu,2024-11-12 02:00:41.288500+00:00,2024-11-12 02:00:41.293706+00:00,2024-11-12 02:00:41.300138+00:00,cat_2.jpg,356x500,0.0293,99.131,Persian cat,Persian cat
15,mobilenetv3,gpu,2024-11-12 02:00:41.319200+00:00,2024-11-12 02:00:41.323642+00:00,2024-11-12 02:00:41.330229+00:00,dog_0.jpg,375x500,0.0285,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
15,mobilenetv3,gpu,2024-11-12 02:00:41.349117+00:00,2024-11-12 02:00:41.353664+00:00,2024-11-12 02:00:41.359941+00:00,dog_1.jpg,375x500,0.0284,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
16,mobilenetv3,gpu,2024-11-12 02:00:41.379115+00:00,2024-11-12 02:00:41.381373+00:00,2024-11-12 02:00:41.388861+00:00,1.jpg,499x381,0.0345,40.294,Italian greyhound,Italian greyhound
16,mobilenetv3,gpu,2024-11-12 02:00:41.415242+00:00,2024-11-12 02:00:41.422833+00:00,2024-11-12 02:00:41.432173+00:00,cat_0.jpg,640x481,0.0352,14.489,water jug,water jug
16,mobilenetv3,gpu,2024-11-12 02:00:41.452013+00:00,2024-11-12 02:00:41.454441+00:00,2024-11-12 02:00:41.461944+00:00,cat_1.jpg,441x350,0.0291,53.58,"tabby, tabby cat","tabby, tabby cat"
16,mobilenetv3,gpu,2024-11-12 02:00:41.483045+00:00,2024-11-12 02:00:41.488451+00:00,2024-11-12 02:00:41.492917+00:00,cat_2.jpg,356x500,0.0279,99.131,Persian cat,Persian cat
16,mobilenetv3,gpu,2024-11-12 02:00:41.512452+00:00,2024-11-12 02:00:41.516926+00:00,2024-11-12 02:00:41.521777+00:00,dog_0.jpg,375x500,0.0269,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
16,mobilenetv3,gpu,2024-11-12 02:00:41.540689+00:00,2024-11-12 02:00:41.545279+00:00,2024-11-12 02:00:41.550148+00:00,dog_1.jpg,375x500,0.027,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
17,mobilenetv3,gpu,2024-11-12 02:00:41.569333+00:00,2024-11-12 02:00:41.571626+00:00,2024-11-12 02:00:41.576236+00:00,1.jpg,499x381,0.0244,40.294,Italian greyhound,Italian greyhound
17,mobilenetv3,gpu,2024-11-12 02:00:41.595226+00:00,2024-11-12 02:00:41.602527+00:00,2024-11-12 02:00:41.608014+00:00,cat_0.jpg,640x481,0.0302,14.489,water jug,water jug
17,mobilenetv3,gpu,2024-11-12 02:00:41.626836+00:00,2024-11-12 02:00:41.629176+00:00,2024-11-12 02:00:41.633557+00:00,cat_1.jpg,441x350,0.0241,53.58,"tabby, tabby cat","tabby, tabby cat"
17,mobilenetv3,gpu,2024-11-12 02:00:41.652381+00:00,2024-11-12 02:00:41.657725+00:00,2024-11-12 02:00:41.662021+00:00,cat_2.jpg,356x500,0.0271,99.131,Persian cat,Persian cat
17,mobilenetv3,gpu,2024-11-12 02:00:41.680890+00:00,2024-11-12 02:00:41.685811+00:00,2024-11-12 02:00:41.690404+00:00,dog_0.jpg,375x500,0.0278,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
17,mobilenetv3,gpu,2024-11-12 02:00:41.710021+00:00,2024-11-12 02:00:41.714596+00:00,2024-11-12 02:00:41.719327+00:00,dog_1.jpg,375x500,0.027,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
18,mobilenetv3,gpu,2024-11-12 02:00:41.738550+00:00,2024-11-12 02:00:41.740804+00:00,2024-11-12 02:00:41.745336+00:00,1.jpg,499x381,0.0248,40.294,Italian greyhound,Italian greyhound
18,mobilenetv3,gpu,2024-11-12 02:00:41.764661+00:00,2024-11-12 02:00:41.771926+00:00,2024-11-12 02:00:41.777354+00:00,cat_0.jpg,640x481,0.0303,14.489,water jug,water jug
18,mobilenetv3,gpu,2024-11-12 02:00:41.796360+00:00,2024-11-12 02:00:41.798661+00:00,2024-11-12 02:00:41.802944+00:00,cat_1.jpg,441x350,0.0242,53.58,"tabby, tabby cat","tabby, tabby cat"
18,mobilenetv3,gpu,2024-11-12 02:00:41.821920+00:00,2024-11-12 02:00:41.827087+00:00,2024-11-12 02:00:41.831646+00:00,cat_2.jpg,356x500,0.0271,99.131,Persian cat,Persian cat
18,mobilenetv3,gpu,2024-11-12 02:00:41.850373+00:00,2024-11-12 02:00:41.854779+00:00,2024-11-12 02:00:41.859552+00:00,dog_0.jpg,375x500,0.0266,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
18,mobilenetv3,gpu,2024-11-12 02:00:41.878383+00:00,2024-11-12 02:00:41.882924+00:00,2024-11-12 02:00:41.887459+00:00,dog_1.jpg,375x500,0.028,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
19,mobilenetv3,gpu,2024-11-12 02:00:41.908444+00:00,2024-11-12 02:00:41.910688+00:00,2024-11-12 02:00:41.915339+00:00,1.jpg,499x381,0.0247,40.294,Italian greyhound,Italian greyhound
19,mobilenetv3,gpu,2024-11-12 02:00:41.934517+00:00,2024-11-12 02:00:41.942119+00:00,2024-11-12 02:00:41.947586+00:00,cat_0.jpg,640x481,0.0308,14.489,water jug,water jug
19,mobilenetv3,gpu,2024-11-12 02:00:41.966696+00:00,2024-11-12 02:00:41.969064+00:00,2024-11-12 02:00:41.975122+00:00,cat_1.jpg,441x350,0.026,53.58,"tabby, tabby cat","tabby, tabby cat"
19,mobilenetv3,gpu,2024-11-12 02:00:41.994103+00:00,2024-11-12 02:00:41.999282+00:00,2024-11-12 02:00:42.005518+00:00,cat_2.jpg,356x500,0.0291,99.131,Persian cat,Persian cat
19,mobilenetv3,gpu,2024-11-12 02:00:42.024585+00:00,2024-11-12 02:00:42.029010+00:00,2024-11-12 02:00:42.035617+00:00,dog_0.jpg,375x500,0.0285,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
19,mobilenetv3,gpu,2024-11-12 02:00:42.054534+00:00,2024-11-12 02:00:42.059071+00:00,2024-11-12 02:00:42.065464+00:00,dog_1.jpg,375x500,0.0286,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
20,mobilenetv3,gpu,2024-11-12 02:00:42.084702+00:00,2024-11-12 02:00:42.086917+00:00,2024-11-12 02:00:42.093528+00:00,1.jpg,499x381,0.0279,40.294,Italian greyhound,Italian greyhound
20,mobilenetv3,gpu,2024-11-12 02:00:42.114434+00:00,2024-11-12 02:00:42.121755+00:00,2024-11-12 02:00:42.129958+00:00,cat_0.jpg,640x481,0.0333,14.489,water jug,water jug
20,mobilenetv3,gpu,2024-11-12 02:00:42.149138+00:00,2024-11-12 02:00:42.151500+00:00,2024-11-12 02:00:42.156005+00:00,cat_1.jpg,441x350,0.0247,53.58,"tabby, tabby cat","tabby, tabby cat"
20,mobilenetv3,gpu,2024-11-12 02:00:42.175210+00:00,2024-11-12 02:00:42.180477+00:00,2024-11-12 02:00:42.184963+00:00,cat_2.jpg,356x500,0.0274,99.131,Persian cat,Persian cat
