Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
5,mobilenetv3,cpu,2024-11-12 01:38:37.744484+00:00,2024-11-12 01:38:37.749878+00:00,2024-11-12 01:38:37.759212+00:00,cat_2.jpg,356x500,0.999,99.132,Persian cat,Persian cat
5,mobilenetv3,cpu,2024-11-12 01:38:38.745246+00:00,2024-11-12 01:38:38.749839+00:00,2024-11-12 01:38:38.756803+00:00,dog_0.jpg,375x500,0.9803,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
5,mobilenetv3,cpu,2024-11-12 01:38:39.727332+00:00,2024-11-12 01:38:39.732075+00:00,2024-11-12 01:38:39.749255+00:00,dog_1.jpg,375x500,1.1125,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
6,mobilenetv3,cpu,2024-11-12 01:38:40.841933+00:00,2024-11-12 01:38:40.844420+00:00,2024-11-12 01:38:40.850720+00:00,1.jpg,499x381,0.6706,40.332,Italian greyhound,Italian greyhound
6,mobilenetv3,cpu,2024-11-12 01:38:41.514275+00:00,2024-11-12 01:38:41.522436+00:00,2024-11-12 01:38:41.535402+00:00,cat_0.jpg,640x481,0.9942,14.485,water jug,water jug
6,mobilenetv3,cpu,2024-11-12 01:38:42.510260+00:00,2024-11-12 01:38:42.512765+00:00,2024-11-12 01:38:42.523278+00:00,cat_1.jpg,441x350,0.9503,53.589,"tabby, tabby cat","tabby, tabby cat"
6,mobilenetv3,cpu,2024-11-12 01:38:43.462390+00:00,2024-11-12 01:38:43.467789+00:00,2024-11-12 01:38:43.474630+00:00,cat_2.jpg,356x500,0.3843,99.132,Persian cat,Persian cat
6,mobilenetv3,cpu,2024-11-12 01:38:43.848553+00:00,2024-11-12 01:38:43.853125+00:00,2024-11-12 01:38:43.864043+00:00,dog_0.jpg,375x500,0.8699,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
6,mobilenetv3,cpu,2024-11-12 01:38:44.720178+00:00,2024-11-12 01:38:44.724903+00:00,2024-11-12 01:38:44.734268+00:00,dog_1.jpg,375x500,1.1048,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
7,mobilenetv3,cpu,2024-11-12 01:38:45.827118+00:00,2024-11-12 01:38:45.829600+00:00,2024-11-12 01:38:45.836810+00:00,1.jpg,499x381,1.2917,40.332,Italian greyhound,Italian greyhound
7,mobilenetv3,cpu,2024-11-12 01:38:47.122254+00:00,2024-11-12 01:38:47.129963+00:00,2024-11-12 01:38:47.139534+00:00,cat_0.jpg,640x481,1.0777,14.485,water jug,water jug
7,mobilenetv3,cpu,2024-11-12 01:38:48.201687+00:00,2024-11-12 01:38:48.204203+00:00,2024-11-12 01:38:48.214853+00:00,cat_1.jpg,441x350,0.9536,53.589,"tabby, tabby cat","tabby, tabby cat"
7,mobilenetv3,cpu,2024-11-12 01:38:49.157109+00:00,2024-11-12 01:38:49.162454+00:00,2024-11-12 01:38:49.169964+00:00,cat_2.jpg,356x500,1.0293,99.132,Persian cat,Persian cat
7,mobilenetv3,cpu,2024-11-12 01:38:50.188303+00:00,2024-11-12 01:38:50.192939+00:00,2024-11-12 01:38:50.202135+00:00,dog_0.jpg,375x500,1.0887,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
7,mobilenetv3,cpu,2024-11-12 01:38:51.278726+00:00,2024-11-12 01:38:51.283469+00:00,2024-11-12 01:38:51.294557+00:00,dog_1.jpg,375x500,1.1338,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
8,mobilenetv3,cpu,2024-11-12 01:38:52.416951+00:00,2024-11-12 01:38:52.419325+00:00,2024-11-12 01:38:52.425336+00:00,1.jpg,499x381,1.158,40.332,Italian greyhound,Italian greyhound
8,mobilenetv3,cpu,2024-11-12 01:38:53.576767+00:00,2024-11-12 01:38:53.584277+00:00,2024-11-12 01:38:53.594621+00:00,cat_0.jpg,640x481,0.9643,14.485,water jug,water jug
8,mobilenetv3,cpu,2024-11-12 01:38:54.542792+00:00,2024-11-12 01:38:54.546997+00:00,2024-11-12 01:38:54.556440+00:00,cat_1.jpg,441x350,1.1129,53.589,"tabby, tabby cat","tabby, tabby cat"
8,mobilenetv3,cpu,2024-11-12 01:38:55.657510+00:00,2024-11-12 01:38:55.662880+00:00,2024-11-12 01:38:55.669908+00:00,cat_2.jpg,356x500,0.853,99.132,Persian cat,Persian cat
8,mobilenetv3,cpu,2024-11-12 01:38:56.512761+00:00,2024-11-12 01:38:56.517362+00:00,2024-11-12 01:38:56.526269+00:00,dog_0.jpg,375x500,1.0251,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
8,mobilenetv3,cpu,2024-11-12 01:38:57.541592+00:00,2024-11-12 01:38:57.546330+00:00,2024-11-12 01:38:57.553447+00:00,dog_1.jpg,375x500,0.933,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
9,mobilenetv3,cpu,2024-11-12 01:38:58.476669+00:00,2024-11-12 01:38:58.479091+00:00,2024-11-12 01:38:58.486041+00:00,1.jpg,499x381,0.9486,40.332,Italian greyhound,Italian greyhound
9,mobilenetv3,cpu,2024-11-12 01:38:59.427246+00:00,2024-11-12 01:38:59.435122+00:00,2024-11-12 01:38:59.446563+00:00,cat_0.jpg,640x481,1.0951,14.485,water jug,water jug
9,mobilenetv3,cpu,2024-11-12 01:39:00.524177+00:00,2024-11-12 01:39:00.526647+00:00,2024-11-12 01:39:00.533400+00:00,cat_1.jpg,441x350,1.0038,53.589,"tabby, tabby cat","tabby, tabby cat"
9,mobilenetv3,cpu,2024-11-12 01:39:01.529840+00:00,2024-11-12 01:39:01.535218+00:00,2024-11-12 01:39:01.542221+00:00,cat_2.jpg,356x500,0.9344,99.132,Persian cat,Persian cat
9,mobilenetv3,cpu,2024-11-12 01:39:02.466065+00:00,2024-11-12 01:39:02.470663+00:00,2024-11-12 01:39:02.480822+00:00,dog_0.jpg,375x500,0.9719,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
9,mobilenetv3,cpu,2024-11-12 01:39:03.439858+00:00,2024-11-12 01:39:03.444583+00:00,2024-11-12 01:39:03.455704+00:00,dog_1.jpg,375x500,1.0811,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
10,mobilenetv3,cpu,2024-11-12 01:39:04.523512+00:00,2024-11-12 01:39:04.525896+00:00,2024-11-12 01:39:04.532133+00:00,1.jpg,499x381,0.9193,40.332,Italian greyhound,Italian greyhound
10,mobilenetv3,cpu,2024-11-12 01:39:05.444642+00:00,2024-11-12 01:39:05.452152+00:00,2024-11-12 01:39:05.459993+00:00,cat_0.jpg,640x481,1.019,14.485,water jug,water jug
