Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,FPS
5,resnet50,gpu,2024-11-14 23:27:00.390791+00:00,2024-11-14 23:27:00.393140+00:00,2024-11-14 23:27:00.397709+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
5,resnet50,gpu,2024-11-14 23:27:00.425310+00:00,2024-11-14 23:27:00.430493+00:00,2024-11-14 23:27:00.435044+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
5,resnet50,gpu,2024-11-14 23:27:00.462629+00:00,2024-11-14 23:27:00.467094+00:00,2024-11-14 23:27:00.472339+00:00,dog_0.jpg,375x500,0.0202,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.5049505
5,resnet50,gpu,2024-11-14 23:27:00.500184+00:00,2024-11-14 23:27:00.504788+00:00,2024-11-14 23:27:00.509372+00:00,dog_1.jpg,375x500,0.0202,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.5049505
6,resnet50,gpu,2024-11-14 23:27:00.537128+00:00,2024-11-14 23:27:00.539369+00:00,2024-11-14 23:27:00.543848+00:00,1.jpg,499x381,0.0199,19.457,Border collie,Border collie,50.25125628
6,resnet50,gpu,2024-11-14 23:27:00.571341+00:00,2024-11-14 23:27:00.578624+00:00,2024-11-14 23:27:00.583877+00:00,cat_0.jpg,640x481,0.0213,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.94835681
6,resnet50,gpu,2024-11-14 23:27:00.612006+00:00,2024-11-14 23:27:00.614350+00:00,2024-11-14 23:27:00.618988+00:00,cat_1.jpg,441x350,0.02,64.68,"tabby, tabby cat","tabby, tabby cat",50
6,resnet50,gpu,2024-11-14 23:27:00.646549+00:00,2024-11-14 23:27:00.651734+00:00,2024-11-14 23:27:00.656248+00:00,cat_2.jpg,356x500,0.0201,99.544,Persian cat,Persian cat,49.75124378
6,resnet50,gpu,2024-11-14 23:27:00.683837+00:00,2024-11-14 23:27:00.688282+00:00,2024-11-14 23:27:00.692741+00:00,dog_0.jpg,375x500,0.02,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",50
6,resnet50,gpu,2024-11-14 23:27:00.720289+00:00,2024-11-14 23:27:00.724853+00:00,2024-11-14 23:27:00.730627+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
7,resnet50,gpu,2024-11-14 23:27:00.758370+00:00,2024-11-14 23:27:00.760634+00:00,2024-11-14 23:27:00.765098+00:00,1.jpg,499x381,0.0201,19.457,Border collie,Border collie,49.75124378
7,resnet50,gpu,2024-11-14 23:27:00.792744+00:00,2024-11-14 23:27:00.799963+00:00,2024-11-14 23:27:00.805560+00:00,cat_0.jpg,640x481,0.0213,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.94835681
7,resnet50,gpu,2024-11-14 23:27:00.833839+00:00,2024-11-14 23:27:00.836166+00:00,2024-11-14 23:27:00.842415+00:00,cat_1.jpg,441x350,0.0212,64.68,"tabby, tabby cat","tabby, tabby cat",47.16981132
7,resnet50,gpu,2024-11-14 23:27:00.870410+00:00,2024-11-14 23:27:00.875853+00:00,2024-11-14 23:27:00.881448+00:00,cat_2.jpg,356x500,0.0208,99.544,Persian cat,Persian cat,48.07692308
7,resnet50,gpu,2024-11-14 23:27:00.909306+00:00,2024-11-14 23:27:00.913792+00:00,2024-11-14 23:27:00.918468+00:00,dog_0.jpg,375x500,0.0203,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.26108374
7,resnet50,gpu,2024-11-14 23:27:00.946065+00:00,2024-11-14 23:27:00.950663+00:00,2024-11-14 23:27:00.955105+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
8,resnet50,gpu,2024-11-14 23:27:00.982810+00:00,2024-11-14 23:27:00.985070+00:00,2024-11-14 23:27:00.989935+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
8,resnet50,gpu,2024-11-14 23:27:01.017733+00:00,2024-11-14 23:27:01.024969+00:00,2024-11-14 23:27:01.030711+00:00,cat_0.jpg,640x481,0.0215,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.51162791
8,resnet50,gpu,2024-11-14 23:27:01.059060+00:00,2024-11-14 23:27:01.061432+00:00,2024-11-14 23:27:01.065847+00:00,cat_1.jpg,441x350,0.0202,64.68,"tabby, tabby cat","tabby, tabby cat",49.5049505
8,resnet50,gpu,2024-11-14 23:27:01.093467+00:00,2024-11-14 23:27:01.098668+00:00,2024-11-14 23:27:01.102942+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
8,resnet50,gpu,2024-11-14 23:27:01.130540+00:00,2024-11-14 23:27:01.134963+00:00,2024-11-14 23:27:01.139525+00:00,dog_0.jpg,375x500,0.0202,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.5049505
8,resnet50,gpu,2024-11-14 23:27:01.167040+00:00,2024-11-14 23:27:01.171596+00:00,2024-11-14 23:27:01.176169+00:00,dog_1.jpg,375x500,0.0203,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.26108374
9,resnet50,gpu,2024-11-14 23:27:01.203939+00:00,2024-11-14 23:27:01.206193+00:00,2024-11-14 23:27:01.210492+00:00,1.jpg,499x381,0.0201,19.457,Border collie,Border collie,49.75124378
9,resnet50,gpu,2024-11-14 23:27:01.238223+00:00,2024-11-14 23:27:01.245438+00:00,2024-11-14 23:27:01.250947+00:00,cat_0.jpg,640x481,0.0215,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.51162791
9,resnet50,gpu,2024-11-14 23:27:01.279331+00:00,2024-11-14 23:27:01.281700+00:00,2024-11-14 23:27:01.286623+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
9,resnet50,gpu,2024-11-14 23:27:01.314156+00:00,2024-11-14 23:27:01.319366+00:00,2024-11-14 23:27:01.323663+00:00,cat_2.jpg,356x500,0.02,99.544,Persian cat,Persian cat,50
9,resnet50,gpu,2024-11-14 23:27:01.351194+00:00,2024-11-14 23:27:01.355632+00:00,2024-11-14 23:27:01.360167+00:00,dog_0.jpg,375x500,0.02,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",50
9,resnet50,gpu,2024-11-14 23:27:01.387715+00:00,2024-11-14 23:27:01.392290+00:00,2024-11-14 23:27:01.396786+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
10,resnet50,gpu,2024-11-14 23:27:01.424477+00:00,2024-11-14 23:27:01.426738+00:00,2024-11-14 23:27:01.431271+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
10,resnet50,gpu,2024-11-14 23:27:01.458891+00:00,2024-11-14 23:27:01.466138+00:00,2024-11-14 23:27:01.471526+00:00,cat_0.jpg,640x481,0.0214,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.72897196
10,resnet50,gpu,2024-11-14 23:27:01.499832+00:00,2024-11-14 23:27:01.502186+00:00,2024-11-14 23:27:01.507090+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
10,resnet50,gpu,2024-11-14 23:27:01.534661+00:00,2024-11-14 23:27:01.539838+00:00,2024-11-14 23:27:01.544299+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
10,resnet50,gpu,2024-11-14 23:27:01.571853+00:00,2024-11-14 23:27:01.576278+00:00,2024-11-14 23:27:01.580727+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
10,resnet50,gpu,2024-11-14 23:27:01.604000+00:00,2024-11-14 23:27:01.608588+00:00,2024-11-14 23:27:01.612920+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
11,resnet50,gpu,2024-11-14 23:27:01.636378+00:00,2024-11-14 23:27:01.638602+00:00,2024-11-14 23:27:01.642954+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
11,resnet50,gpu,2024-11-14 23:27:01.666245+00:00,2024-11-14 23:27:01.673475+00:00,2024-11-14 23:27:01.678819+00:00,cat_0.jpg,640x481,0.0202,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.5049505
11,resnet50,gpu,2024-11-14 23:27:01.702666+00:00,2024-11-14 23:27:01.705000+00:00,2024-11-14 23:27:01.709041+00:00,cat_1.jpg,441x350,0.0203,64.68,"tabby, tabby cat","tabby, tabby cat",49.26108374
11,resnet50,gpu,2024-11-14 23:27:01.732594+00:00,2024-11-14 23:27:01.737768+00:00,2024-11-14 23:27:01.742000+00:00,cat_2.jpg,356x500,0.0201,99.544,Persian cat,Persian cat,49.75124378
11,resnet50,gpu,2024-11-14 23:27:01.765364+00:00,2024-11-14 23:27:01.769776+00:00,2024-11-14 23:27:01.774051+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
11,resnet50,gpu,2024-11-14 23:27:01.797350+00:00,2024-11-14 23:27:01.801896+00:00,2024-11-14 23:27:01.806289+00:00,dog_1.jpg,375x500,0.0203,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.26108374
12,resnet50,gpu,2024-11-14 23:27:01.829949+00:00,2024-11-14 23:27:01.832201+00:00,2024-11-14 23:27:01.836490+00:00,1.jpg,499x381,0.021,19.457,Border collie,Border collie,47.61904762
12,resnet50,gpu,2024-11-14 23:27:01.860796+00:00,2024-11-14 23:27:01.868333+00:00,2024-11-14 23:27:01.876030+00:00,cat_0.jpg,640x481,0.0209,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",47.84688995
12,resnet50,gpu,2024-11-14 23:27:01.900344+00:00,2024-11-14 23:27:01.903209+00:00,2024-11-14 23:27:01.907862+00:00,cat_1.jpg,441x350,0.0203,64.68,"tabby, tabby cat","tabby, tabby cat",49.26108374
12,resnet50,gpu,2024-11-14 23:27:01.931718+00:00,2024-11-14 23:27:01.936943+00:00,2024-11-14 23:27:01.941888+00:00,cat_2.jpg,356x500,0.0201,99.544,Persian cat,Persian cat,49.75124378
12,resnet50,gpu,2024-11-14 23:27:01.965196+00:00,2024-11-14 23:27:01.969626+00:00,2024-11-14 23:27:01.974195+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
12,resnet50,gpu,2024-11-14 23:27:01.997518+00:00,2024-11-14 23:27:02.002093+00:00,2024-11-14 23:27:02.006617+00:00,dog_1.jpg,375x500,0.0203,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.26108374
13,resnet50,gpu,2024-11-14 23:27:02.030246+00:00,2024-11-14 23:27:02.032470+00:00,2024-11-14 23:27:02.036985+00:00,1.jpg,499x381,0.02,19.457,Border collie,Border collie,50
13,resnet50,gpu,2024-11-14 23:27:02.060186+00:00,2024-11-14 23:27:02.067445+00:00,2024-11-14 23:27:02.073223+00:00,cat_0.jpg,640x481,0.0203,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.26108374
13,resnet50,gpu,2024-11-14 23:27:02.096750+00:00,2024-11-14 23:27:02.099120+00:00,2024-11-14 23:27:02.103387+00:00,cat_1.jpg,441x350,0.0214,64.68,"tabby, tabby cat","tabby, tabby cat",46.72897196
