2025-02-18 11:09:53,029 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 424.477, raspberry_pi: 53.760 | Reason: High queue length (29)
2025-02-18 11:09:53,167 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 367.578, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:53,306 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 369.775, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:53,431 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 371.745, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:53,612 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 371.728, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:53,734 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 373.604, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:53,922 - INFO - Time: 11:09:53 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 373.195, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:54,124 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 372.361, raspberry_pi: 53.760 | Reason: High queue length (35)
2025-02-18 11:09:54,295 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 327.216, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:54,415 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 328.793, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:54,537 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 330.167, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:54,614 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 332.701, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:54,738 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 333.669, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:54,908 - INFO - Time: 11:09:54 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 333.211, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:55,016 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 335.044, raspberry_pi: 53.760 | Reason: High queue length (41)
2025-02-18 11:09:55,141 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 287.857, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,217 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 289.642, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,307 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 290.888, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,398 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 292.036, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,476 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 293.389, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,584 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 294.248, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,662 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 295.401, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,770 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 295.663, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,879 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 295.871, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:55,970 - INFO - Time: 11:09:55 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 296.515, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:56,062 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 297.097, raspberry_pi: 53.760 | Reason: High queue length (49)
2025-02-18 11:09:56,200 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 247.321, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,293 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 247.730, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,386 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 248.137, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,493 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 248.176, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,586 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 248.522, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,664 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 249.172, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,771 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 249.462, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,864 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 249.693, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:56,941 - INFO - Time: 11:09:56 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 250.260, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:57,081 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 249.334, raspberry_pi: 53.760 | Reason: High queue length (60)
2025-02-18 11:09:57,220 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.198, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,299 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.755, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,408 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.961, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,515 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.887, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,702 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 214.279, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,794 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 214.654, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,885 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.002, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:57,962 - INFO - Time: 11:09:57 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 215.604, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:58,056 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 216.130, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:58,132 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 216.639, raspberry_pi: 53.760 | Reason: High queue length (70)
2025-02-18 11:09:58,255 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.140, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,330 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.594, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,453 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.193, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,545 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.361, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,684 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 189.956, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,776 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.143, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,868 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.317, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:58,960 - INFO - Time: 11:09:58 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 190.460, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:59,098 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 189.800, raspberry_pi: 53.760 | Reason: High queue length (80)
2025-02-18 11:09:59,238 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.341, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,331 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.802, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,470 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.260, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,625 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 169.550, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,764 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 169.150, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,825 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 169.976, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:09:59,933 - INFO - Time: 11:09:59 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.001, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:10:00,025 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.502, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:10:00,133 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 170.480, raspberry_pi: 53.760 | Reason: High queue length (89)
2025-02-18 11:10:00,210 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.174, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,303 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.329, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,378 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.705, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,486 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.594, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,594 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.708, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,734 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 155.131, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:00,917 - INFO - Time: 11:10:00 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 154.030, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:01,041 - INFO - Time: 11:10:01 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 153.877, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:01,148 - INFO - Time: 11:10:01 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 153.960, raspberry_pi: 53.760 | Reason: High queue length (98)
2025-02-18 11:10:01,398 - INFO - Time: 11:10:01 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 139.006, raspberry_pi: 53.760 | Reason: High queue length (107)
2025-02-18 11:10:01,536 - INFO - Time: 11:10:01 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 139.041, raspberry_pi: 53.760 | Reason: High queue length (107)
2025-02-18 11:10:01,661 - INFO - Time: 11:10:01 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 139.052, raspberry_pi: 53.760 | Reason: High queue length (107)
2025-02-18 11:10:02,004 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 136.418, raspberry_pi: 53.760 | Reason: High queue length (107)
2025-02-18 11:10:02,144 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 136.513, raspberry_pi: 53.760 | Reason: High queue length (107)
2025-02-18 11:10:02,313 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 129.947, raspberry_pi: 53.760 | Reason: High queue length (112)
