2025-02-18 11:45:24,736 - INFO - Time: 11:45:24 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2048.000, raspberry_pi: 53.760 | Reason: New model request (resnet18)
2025-02-18 11:45:24,937 - INFO - Time: 11:45:24 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2005.238, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-18 11:45:25,076 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1982.318, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-18 11:45:25,243 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1956.743, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-18 11:45:25,413 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1936.617, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-18 11:45:25,552 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1921.576, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-18 11:45:25,707 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1185.539, raspberry_pi: 53.760 | Reason: High queue length (6)
2025-02-18 11:45:25,802 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1183.046, raspberry_pi: 53.760 | Reason: High queue length (6)
2025-02-18 11:45:25,894 - INFO - Time: 11:45:25 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1181.024, raspberry_pi: 53.760 | Reason: High queue length (6)
2025-02-18 11:45:26,002 - INFO - Time: 11:45:26 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1177.540, raspberry_pi: 53.760 | Reason: High queue length (6)
2025-02-18 11:45:26,095 - INFO - Time: 11:45:26 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1176.105, raspberry_pi: 53.760 | Reason: High queue length (6)
2025-02-18 11:45:26,187 - INFO - Time: 11:45:26 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1174.890, raspberry_pi: 53.760 | Reason: High queue length (6)
