2025-02-17 20:37:40,963 - INFO - Time: 20:37:40 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2048.000, raspberry_pi: 53.760 | Reason: New model request (resnet18)
2025-02-17 20:37:41,017 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2034.567, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,142 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2010.959, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,187 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2005.468, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,279 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1991.461, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,388 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1975.802, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,512 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1961.760, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,619 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1949.813, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,728 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1938.683, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,788 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1937.809, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,880 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 1931.123, raspberry_pi: 53.760 | Reason: Load balancing
2025-02-17 20:37:41,971 - INFO - Time: 20:37:41 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 906.994, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,096 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 903.059, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,187 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 901.035, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,248 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 901.741, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,354 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 898.599, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,445 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 896.994, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,535 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 895.699, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,612 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 896.942, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,704 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 895.453, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,798 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 893.993, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,843 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 896.664, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,889 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 899.097, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:42,950 - INFO - Time: 20:37:42 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 899.996, raspberry_pi: 53.760 | Reason: High queue length (11)
2025-02-17 20:37:43,027 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 549.199, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,119 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 548.072, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,181 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 548.574, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,227 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 549.883, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,350 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 547.070, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,396 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 548.499, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,472 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 549.030, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,518 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 550.269, raspberry_pi: 53.760 | Reason: High queue length (24)
2025-02-17 20:37:43,563 - INFO - Time: 20:37:43 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 551.460, raspberry_pi: 53.760 | Reason: High queue length (24)
