Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:40:24.205586+00:00,2024-11-01 18:40:24.210287+00:00,2024-11-01 18:40:24.230717+00:00,cat_1.jpg,441x350,0.424,64.716,"tabby, tabby cat","tabby, tabby cat",0.0424,Resnet-18
2024-11-01 18:40:24.635548+00:00,2024-11-01 18:40:24.644333+00:00,2024-11-01 18:40:24.654314+00:00,cat_2.jpg,356x500,0.3299,99.256,Persian cat,Persian cat,0.033,Resnet-18
2024-11-01 18:40:24.969842+00:00,2024-11-01 18:40:24.977047+00:00,2024-11-01 18:40:24.998086+00:00,dog_0.jpg,375x500,0.3505,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.035,Resnet-18
2024-11-01 18:40:25.323808+00:00,2024-11-01 18:40:25.331225+00:00,2024-11-01 18:40:25.373843+00:00,dog_1.jpg,375x500,0.4208,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0421,Resnet-18
2024-11-01 18:40:25.748709+00:00,2024-11-01 18:40:25.753469+00:00,2024-11-01 18:40:25.772682+00:00,1.jpg,499x381,0.3302,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.033,Resnet-18
2024-11-01 18:40:26.083915+00:00,2024-11-01 18:40:26.096421+00:00,2024-11-01 18:40:26.112707+00:00,cat_0.jpg,640x481,0.3804,18.534,"tabby, tabby cat","tabby, tabby cat",0.038,Resnet-18
2024-11-01 18:40:26.475078+00:00,2024-11-01 18:40:26.482641+00:00,2024-11-01 18:40:26.510034+00:00,cat_1.jpg,441x350,0.365,64.716,"tabby, tabby cat","tabby, tabby cat",0.0365,Resnet-18
2024-11-01 18:40:26.844252+00:00,2024-11-01 18:40:26.852294+00:00,2024-11-01 18:40:26.872522+00:00,cat_2.jpg,356x500,0.3429,99.256,Persian cat,Persian cat,0.0343,Resnet-18
2024-11-01 18:40:27.189721+00:00,2024-11-01 18:40:27.197743+00:00,2024-11-01 18:40:27.217583+00:00,dog_0.jpg,375x500,0.4217,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0422,Resnet-18
2024-11-01 18:40:27.615734+00:00,2024-11-01 18:40:27.623113+00:00,2024-11-01 18:40:27.642880+00:00,dog_1.jpg,375x500,0.3541,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0354,Resnet-18
2024-11-01 18:40:27.977078+00:00,2024-11-01 18:40:27.981817+00:00,2024-11-01 18:40:28.002073+00:00,1.jpg,499x381,0.3405,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.034,Resnet-18
2024-11-01 18:40:28.324459+00:00,2024-11-01 18:40:28.339763+00:00,2024-11-01 18:40:28.375769+00:00,cat_0.jpg,640x481,0.3981,18.534,"tabby, tabby cat","tabby, tabby cat",0.0398,Resnet-18
2024-11-01 18:40:28.725196+00:00,2024-11-01 18:40:28.730672+00:00,2024-11-01 18:40:28.748950+00:00,cat_1.jpg,441x350,0.347,64.716,"tabby, tabby cat","tabby, tabby cat",0.0347,Resnet-18
2024-11-01 18:40:29.076511+00:00,2024-11-01 18:40:29.088025+00:00,2024-11-01 18:40:29.104428+00:00,cat_2.jpg,356x500,0.3632,99.256,Persian cat,Persian cat,0.0363,Resnet-18
2024-11-01 18:40:29.442400+00:00,2024-11-01 18:40:29.450605+00:00,2024-11-01 18:40:29.474024+00:00,dog_0.jpg,375x500,0.3604,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.036,Resnet-18
2024-11-01 18:40:29.806257+00:00,2024-11-01 18:40:29.814355+00:00,2024-11-01 18:40:29.828831+00:00,dog_1.jpg,375x500,0.3418,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0342,Resnet-18
2024-11-01 18:40:30.153031+00:00,2024-11-01 18:40:30.161417+00:00,2024-11-01 18:40:30.181381+00:00,1.jpg,499x381,0.4308,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0431,Resnet-18
2024-11-01 18:40:30.587819+00:00,2024-11-01 18:40:30.599556+00:00,2024-11-01 18:40:30.622037+00:00,cat_0.jpg,640x481,0.3712,18.534,"tabby, tabby cat","tabby, tabby cat",0.0371,Resnet-18
2024-11-01 18:40:30.962900+00:00,2024-11-01 18:40:30.967658+00:00,2024-11-01 18:40:30.987795+00:00,cat_1.jpg,441x350,0.3541,64.716,"tabby, tabby cat","tabby, tabby cat",0.0354,Resnet-18
2024-11-01 18:40:31.322403+00:00,2024-11-01 18:40:31.330449+00:00,2024-11-01 18:40:31.366057+00:00,cat_2.jpg,356x500,0.3967,99.256,Persian cat,Persian cat,0.0397,Resnet-18
2024-11-01 18:40:31.721559+00:00,2024-11-01 18:40:31.729509+00:00,2024-11-01 18:40:31.745516+00:00,dog_0.jpg,375x500,0.3424,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0342,Resnet-18
2024-11-01 18:40:32.068205+00:00,2024-11-01 18:40:32.075608+00:00,2024-11-01 18:40:32.096272+00:00,dog_1.jpg,375x500,0.3883,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0388,Resnet-18
2024-11-01 18:40:32.472475+00:00,2024-11-01 18:40:32.478023+00:00,2024-11-01 18:40:32.510808+00:00,1.jpg,499x381,0.3606,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0361,Resnet-18
2024-11-01 18:40:32.837727+00:00,2024-11-01 18:40:32.849471+00:00,2024-11-01 18:40:32.871296+00:00,cat_0.jpg,640x481,0.3552,18.534,"tabby, tabby cat","tabby, tabby cat",0.0355,Resnet-18
2024-11-01 18:40:33.196129+00:00,2024-11-01 18:40:33.200810+00:00,2024-11-01 18:40:33.225378+00:00,cat_1.jpg,441x350,0.4109,64.716,"tabby, tabby cat","tabby, tabby cat",0.0411,Resnet-18
2024-11-01 18:40:33.610465+00:00,2024-11-01 18:40:33.618685+00:00,2024-11-01 18:40:33.638150+00:00,cat_2.jpg,356x500,0.3494,99.256,Persian cat,Persian cat,0.0349,Resnet-18
2024-11-01 18:40:33.963917+00:00,2024-11-01 18:40:33.971306+00:00,2024-11-01 18:40:33.989570+00:00,dog_0.jpg,375x500,0.3323,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0332,Resnet-18
2024-11-01 18:40:34.298417+00:00,2024-11-01 18:40:34.306480+00:00,2024-11-01 18:40:34.326572+00:00,dog_1.jpg,375x500,0.4192,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0419,Resnet-18
2024-11-01 18:40:34.722633+00:00,2024-11-01 18:40:34.727337+00:00,2024-11-01 18:40:34.748575+00:00,1.jpg,499x381,0.3491,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0349,Resnet-18
