Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:38:16.612808+00:00,2024-11-01 18:38:16.618843+00:00,2024-11-01 18:38:16.631363+00:00,cat_1.jpg,441x350,0.0406,64.715,"tabby, tabby cat","tabby, tabby cat",0.0051,Resnet-18
2024-11-01 18:38:16.669071+00:00,2024-11-01 18:38:16.678287+00:00,2024-11-01 18:38:16.688924+00:00,cat_2.jpg,356x500,0.0361,99.256,Persian cat,Persian cat,0.0045,Resnet-18
2024-11-01 18:38:16.725961+00:00,2024-11-01 18:38:16.734138+00:00,2024-11-01 18:38:16.744439+00:00,dog_0.jpg,375x500,0.0346,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0043,Resnet-18
2024-11-01 18:38:16.782403+00:00,2024-11-01 18:38:16.790442+00:00,2024-11-01 18:38:16.800809+00:00,dog_1.jpg,375x500,0.0345,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0043,Resnet-18
2024-11-01 18:38:16.838195+00:00,2024-11-01 18:38:16.844944+00:00,2024-11-01 18:38:16.855151+00:00,1.jpg,499x381,0.0371,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0046,Resnet-18
2024-11-01 18:38:16.892359+00:00,2024-11-01 18:38:16.904371+00:00,2024-11-01 18:38:16.917548+00:00,cat_0.jpg,640x481,0.0413,18.534,"tabby, tabby cat","tabby, tabby cat",0.0052,Resnet-18
2024-11-01 18:38:16.956316+00:00,2024-11-01 18:38:16.961784+00:00,2024-11-01 18:38:16.972264+00:00,cat_1.jpg,441x350,0.0323,64.715,"tabby, tabby cat","tabby, tabby cat",0.004,Resnet-18
2024-11-01 18:38:17.009305+00:00,2024-11-01 18:38:17.018386+00:00,2024-11-01 18:38:17.028884+00:00,cat_2.jpg,356x500,0.0363,99.256,Persian cat,Persian cat,0.0045,Resnet-18
2024-11-01 18:38:17.065590+00:00,2024-11-01 18:38:17.073336+00:00,2024-11-01 18:38:17.084194+00:00,dog_0.jpg,375x500,0.0399,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.005,Resnet-18
2024-11-01 18:38:17.121336+00:00,2024-11-01 18:38:17.129394+00:00,2024-11-01 18:38:17.140457+00:00,dog_1.jpg,375x500,0.0363,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:17.179198+00:00,2024-11-01 18:38:17.184675+00:00,2024-11-01 18:38:17.200798+00:00,1.jpg,499x381,0.0398,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.005,Resnet-18
2024-11-01 18:38:17.237569+00:00,2024-11-01 18:38:17.250395+00:00,2024-11-01 18:38:17.269798+00:00,cat_0.jpg,640x481,0.0533,18.534,"tabby, tabby cat","tabby, tabby cat",0.0067,Resnet-18
2024-11-01 18:38:17.307313+00:00,2024-11-01 18:38:17.312814+00:00,2024-11-01 18:38:17.330403+00:00,cat_1.jpg,441x350,0.0414,64.715,"tabby, tabby cat","tabby, tabby cat",0.0052,Resnet-18
2024-11-01 18:38:17.367517+00:00,2024-11-01 18:38:17.376999+00:00,2024-11-01 18:38:17.391417+00:00,cat_2.jpg,356x500,0.0401,99.256,Persian cat,Persian cat,0.005,Resnet-18
2024-11-01 18:38:17.428930+00:00,2024-11-01 18:38:17.438436+00:00,2024-11-01 18:38:17.450716+00:00,dog_0.jpg,375x500,0.0383,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0048,Resnet-18
2024-11-01 18:38:17.489229+00:00,2024-11-01 18:38:17.499938+00:00,2024-11-01 18:38:17.510500+00:00,dog_1.jpg,375x500,0.0375,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0047,Resnet-18
2024-11-01 18:38:17.547977+00:00,2024-11-01 18:38:17.553270+00:00,2024-11-01 18:38:17.563687+00:00,1.jpg,499x381,0.0319,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.004,Resnet-18
2024-11-01 18:38:17.600348+00:00,2024-11-01 18:38:17.612354+00:00,2024-11-01 18:38:17.625069+00:00,cat_0.jpg,640x481,0.0411,18.534,"tabby, tabby cat","tabby, tabby cat",0.0051,Resnet-18
2024-11-01 18:38:17.662320+00:00,2024-11-01 18:38:17.667402+00:00,2024-11-01 18:38:17.677421+00:00,cat_1.jpg,441x350,0.0318,64.715,"tabby, tabby cat","tabby, tabby cat",0.004,Resnet-18
2024-11-01 18:38:17.716626+00:00,2024-11-01 18:38:17.725658+00:00,2024-11-01 18:38:17.736461+00:00,cat_2.jpg,356x500,0.0404,99.256,Persian cat,Persian cat,0.0051,Resnet-18
2024-11-01 18:38:17.773754+00:00,2024-11-01 18:38:17.781593+00:00,2024-11-01 18:38:17.792126+00:00,dog_0.jpg,375x500,0.0347,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0043,Resnet-18
2024-11-01 18:38:17.828814+00:00,2024-11-01 18:38:17.837873+00:00,2024-11-01 18:38:17.848420+00:00,dog_1.jpg,375x500,0.0357,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:17.886097+00:00,2024-11-01 18:38:17.891634+00:00,2024-11-01 18:38:17.901894+00:00,1.jpg,499x381,0.032,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.004,Resnet-18
2024-11-01 18:38:17.939981+00:00,2024-11-01 18:38:17.952256+00:00,2024-11-01 18:38:17.964926+00:00,cat_0.jpg,640x481,0.0453,18.534,"tabby, tabby cat","tabby, tabby cat",0.0057,Resnet-18
2024-11-01 18:38:18.005619+00:00,2024-11-01 18:38:18.015727+00:00,2024-11-01 18:38:18.026012+00:00,cat_1.jpg,441x350,0.0372,64.715,"tabby, tabby cat","tabby, tabby cat",0.0047,Resnet-18
2024-11-01 18:38:18.064204+00:00,2024-11-01 18:38:18.073402+00:00,2024-11-01 18:38:18.084067+00:00,cat_2.jpg,356x500,0.0371,99.256,Persian cat,Persian cat,0.0046,Resnet-18
2024-11-01 18:38:18.121562+00:00,2024-11-01 18:38:18.129416+00:00,2024-11-01 18:38:18.140017+00:00,dog_0.jpg,375x500,0.0373,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0047,Resnet-18
2024-11-01 18:38:18.177807+00:00,2024-11-01 18:38:18.185940+00:00,2024-11-01 18:38:18.203615+00:00,dog_1.jpg,375x500,0.0517,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0065,Resnet-18
