time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
2024-11-01T18:40:36.503384,04:08:14,100,100,100,98,0.34662449128408274,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41.5,41,39,41.75,3089,0,4863,OFF,MAXN
2024-11-01T18:40:37.509328,04:08:15,99,100,100,100,0.34659197288162313,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41.5,41,39,41.25,3129,0,5016,OFF,MAXN
2024-11-01T18:40:38.505147,04:08:16,100,100,100,100,0.3467821562657049,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41.5,41,39,41.75,3054,0,4903,OFF,MAXN
2024-11-01T18:40:39.506353,04:08:17,100,100,100,99,0.3466826302460559,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41,41.5,39.5,41.75,2929,0,4895,OFF,MAXN
2024-11-01T18:40:40.495412,04:08:18,99,100,100,100,0.3465604398852987,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41,41,39,41.75,2934,0,4508,OFF,MAXN
2024-11-01T18:40:41.455923,04:08:19,99,100,99,100,0.34661956425340706,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,41.5,39.5,41.75,3210,0,4709,OFF,MAXN
2024-11-01T18:40:42.524373,04:08:20,100,99,99,99,0.346533834,0.016202942,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,41.5,39.5,41.75,3049,0,5056,OFF,MAXN
2024-11-01T18:40:43.523077,04:08:21,100,100,100,100,0.34662744750248814,0.016184822258779773,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,41.5,41.5,39.5,41.5,3054,0,4629,OFF,MAXN
2024-11-01T18:40:44.420814,04:08:22,100,100,99,100,0.34653580473192025,0.016183868583553872,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41,41.5,39.5,42,2853,0,4354,OFF,MAXN
2024-11-01T18:40:45.505280,04:08:23,100,100,99,98,0.3465722647589204,0.016183868583553872,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,41.5,39.5,41.5,2934,0,5056,OFF,MAXN
2024-11-01T18:40:46.509038,04:08:24,100,100,99,100,0.34647273873927137,0.016182914908327968,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,41.5,39.5,41.5,3094,0,4823,OFF,MAXN
2024-11-01T18:40:47.522025,04:08:25,98,100,100,100,0.34662252047181247,0.016181961233102067,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,41.5,39.5,41.5,3094,0,4943,OFF,MAXN
2024-11-01T18:40:48.538805,04:08:26,100,100,100,100,0.3465929582877583,0.016181961233102067,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,41.5,39.5,41.75,3210,0,4903,OFF,MAXN
2024-11-01T18:40:49.469050,04:08:27,100,100,100,100,0.3466008415368394,0.016181007557876166,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,42,40,42,3170,0,4742,OFF,MAXN
2024-11-01T18:40:50.528559,04:08:28,100,99,100,100,0.34662252047181247,0.016181007557876166,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42.5,41.5,39.5,42,3014,0,4935,OFF,MAXN
