Model,time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
Resnet-18,2024-11-01T18:37:22.206832,04:05:00,28,33,28,28,0.4584030508173944,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,35.5,35,35.75,653,40,2245,OFF,MAXN
Resnet-18,2024-11-01T18:37:23.207547,04:05:01,11,21,6,2,0.458528197,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.5,613,0,2041,OFF,MAXN
Resnet-18,2024-11-01T18:37:24.198336,04:05:02,8,25,6,3,0.458528197,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,36.5,34.5,36.75,612,0,2044,OFF,MAXN
Resnet-18,2024-11-01T18:37:25.219488,04:05:03,11,25,7,3,0.45848385412047576,0.2787421023770355,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.75,936,0,2564,OFF,MAXN
Resnet-18,2024-11-01T18:37:26.201818,04:05:04,57,36,21,25,0.4580532316394202,0.28280762,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,37,35,36.75,1178,0,2966,OFF,MAXN
Resnet-18,2024-11-01T18:37:27.203135,04:05:05,80,20,16,20,0.456018368,0.2819845981451017,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,37,35,36.5,773,0,2645,OFF,MAXN
Resnet-18,2024-11-01T18:37:28.208051,04:05:06,86,15,17,28,0.4521003931770479,0.28658894213575564,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.5,773,0,2609,OFF,MAXN
Resnet-18,2024-11-01T18:37:29.211614,04:05:07,63,38,8,23,0.4500290694809866,0.2907059580859738,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35,36.5,691,40,2605,OFF,MAXN
Resnet-18,2024-11-01T18:37:30.209337,04:05:08,51,30,38,15,0.45241473773415714,0.2886011968624085,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,35.75,1217,81,3088,OFF,MAXN
Resnet-18,2024-11-01T18:37:31.210417,04:05:09,25,36,59,22,0.45888491441747714,0.29153851655818613,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36,1176,40,3164,OFF,MAXN
Resnet-18,2024-11-01T18:37:32.212644,04:05:10,39,54,41,15,0.45981119618450744,0.31635600696182914,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,37,35,35.75,732,0,2605,OFF,MAXN
Resnet-18,2024-11-01T18:37:33.207286,04:05:11,50,25,49,23,0.4654881209290409,0.31635600696182914,0,0,28.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,36,35.5,36.5,1176,121,3088,OFF,MAXN
Resnet-18,2024-11-01T18:37:34.214924,04:05:12,36,22,22,49,0.4680846660951311,0.31635505328660324,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,35.5,35.5,36.5,1217,81,3164,OFF,MAXN
Resnet-18,2024-11-01T18:37:35.211238,04:05:13,60,48,12,12,0.4604073668962663,0.32527477767446294,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,35.5,35.5,36.25,853,81,2767,OFF,MAXN
Resnet-18,2024-11-01T18:37:36.215908,04:05:14,54,49,27,19,0.4650752357584178,0.32526714827265574,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,36,35.5,35.75,732,40,2686,OFF,MAXN
Resnet-18,2024-11-01T18:37:37.215565,04:05:15,51,17,18,46,0.47107241749687134,0.32521851083613473,0,0,37.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35.5,35.75,1458,81,3246,OFF,MAXN
Resnet-18,2024-11-01T18:37:38.215080,04:05:16,52,21,27,41,0.47427695824834204,0.3355105738740672,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35.5,35.75,1257,40,3124,OFF,MAXN
Resnet-18,2024-11-01T18:37:39.225501,04:05:17,32,81,14,32,0.47259486997566047,0.3496993538850344,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,35.75,691,40,2527,OFF,MAXN
Resnet-18,2024-11-01T18:37:40.215635,04:05:18,34,74,17,17,0.47054423980843707,0.3497022149107122,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,35.75,773,40,2686,OFF,MAXN
Resnet-18,2024-11-01T18:37:41.223898,04:05:19,42,60,31,100,0.4717198293276574,0.349625921,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,35.5,35,36.25,814,81,2727,OFF,MAXN
Resnet-18,2024-11-01T18:37:42.227468,04:05:20,92,23,6,23,0.47180753047368473,0.3496154304651551,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.5,652,0,2486,OFF,MAXN
Resnet-18,2024-11-01T18:37:43.228589,04:05:21,85,21,11,11,0.46730619524837164,0.34959254225973346,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37.5,37,35,37.25,814,0,2645,OFF,MAXN
Resnet-18,2024-11-01T18:37:44.223371,04:05:22,92,13,20,12,0.46972241109173146,0.34958300550747445,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,37.25,1097,81,3007,OFF,MAXN
Resnet-18,2024-11-01T18:37:45.228828,04:05:23,47,23,15,54,0.4743429804593963,0.349577283,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,36,853,40,2808,OFF,MAXN
Resnet-18,2024-11-01T18:37:46.225624,04:05:24,76,30,18,24,0.4797893201683074,0.3531344920487328,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36,35.5,35,35.75,934,40,2808,OFF,MAXN
Resnet-18,2024-11-01T18:37:47.229160,04:05:25,76,31,30,31,0.4793931869019816,0.35586867892139334,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,35.5,35,35.75,732,40,2605,OFF,MAXN
Resnet-18,2024-11-01T18:37:48.229610,04:05:26,72,25,12,24,0.48110582276485253,0.364040722,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,35.5,35.5,36,853,40,2767,OFF,MAXN
Resnet-18,2024-11-01T18:37:49.232646,04:05:27,78,27,26,19,0.4810920270789606,0.3659785899911785,0,0,3.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36.25,854,40,2727,OFF,MAXN
Resnet-18,2024-11-01T18:37:50.237399,04:05:28,83,38,17,26,0.48097673456114937,0.36594330400782016,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,35.5,35.5,36,814,40,2727,OFF,MAXN
Resnet-18,2024-11-01T18:37:51.245270,04:05:29,81,24,29,42,0.4839112740315921,0.3773101590253439,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35,35.75,773,40,2767,OFF,MAXN
Resnet-18,2024-11-01T18:37:52.243617,04:05:30,87,12,17,23,0.4843704732905667,0.3773082516748921,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,36,691,40,2609,OFF,MAXN
Resnet-18,2024-11-01T18:37:53.237921,04:05:31,88,17,20,17,0.4839211280929435,0.37728536346947045,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35,36,814,81,2686,OFF,MAXN
Resnet-18,2024-11-01T18:37:54.238833,04:05:32,36,37,53,30,0.48700643470206245,0.39451636745106455,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36,934,40,2849,OFF,MAXN
Resnet-18,2024-11-01T18:37:55.238840,04:05:33,67,44,54,51,0.48667632364679103,0.39448775719428747,0,0,3.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,36,894,40,2808,OFF,MAXN
Resnet-18,2024-11-01T18:37:56.242027,04:05:34,50,72,39,38,0.4863964683044117,0.3944410271082183,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35.5,36,773,40,2645,OFF,MAXN
Resnet-18,2024-11-01T18:37:57.243674,04:05:35,35,68,33,12,0.48808348360776893,0.3943542426626612,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,35.5,35,36,975,40,2885,OFF,MAXN
Resnet-18,2024-11-01T18:37:58.253042,04:05:36,32,52,31,20,0.48600821828716706,0.39493121617433186,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,36,35,35.75,773,40,2727,OFF,MAXN
Resnet-18,2024-11-01T18:37:59.245994,04:05:37,23,32,52,36,0.48462470807343244,0.3960098228548268,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,37,35,36.5,854,0,2686,OFF,MAXN
Resnet-18,2024-11-01T18:38:00.250676,04:05:38,25,83,26,5,0.4821690759846671,0.3994411463176215,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35,36,732,40,2686,OFF,MAXN
Resnet-18,2024-11-01T18:38:01.247106,04:05:39,25,54,46,12,0.48047614824449897,0.4032911332045872,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36,814,40,2686,OFF,MAXN
Resnet-18,2024-11-01T18:38:02.248253,04:05:40,40,32,22,44,0.4884500546900405,0.4032110244856114,0,0,8.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,36,35.5,36,975,81,2844,OFF,MAXN
Resnet-18,2024-11-01T18:38:03.252376,04:05:41,41,38,39,36,0.49172061765256553,0.40601769067544047,0,0,5.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,38,36,35.5,36.75,1137,81,3129,OFF,MAXN
Resnet-18,2024-11-01T18:38:04.257299,04:05:42,32,27,43,28,0.4974635646081533,0.4109386548410939,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,36,36,36.25,1016,81,2966,OFF,MAXN
Resnet-18,2024-11-01T18:38:05.252916,04:05:43,31,63,22,17,0.5031986283146599,0.41341725675321267,0,0,1.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37.5,35.5,35,36.25,934,81,2844,OFF,MAXN
Resnet-18,2024-11-01T18:38:06.253598,04:05:44,36,64,28,31,0.5036351632325263,0.4179863147605083,0,0,6.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,36,35.5,35.75,975,40,2926,OFF,MAXN
Resnet-18,2024-11-01T18:38:07.254616,04:05:45,40,38,33,29,0.5043663345847991,0.42488424766945615,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36.5,975,40,2808,OFF,MAXN
Resnet-18,2024-11-01T18:38:08.260871,04:05:46,43,49,8,28,0.5075442693706211,0.42824499916553416,0,0,36.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,36,35.5,36.25,1097,40,2926,OFF,MAXN
Resnet-18,2024-11-01T18:38:09.258648,04:05:47,39,33,56,23,0.5065982794808881,0.43498366831175644,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,36,35.5,36.25,1016,40,2885,OFF,MAXN
Resnet-18,2024-11-01T18:38:10.262179,04:05:48,26,75,32,12,0.5045013352253132,0.43568366592756835,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,37,35,36.75,814,0,2686,OFF,MAXN
Resnet-18,2024-11-01T18:38:11.271276,04:05:49,95,20,14,15,0.5004700387264611,0.43562930643969194,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37.5,36,35.5,35.75,853,81,2808,OFF,MAXN
Resnet-18,2024-11-01T18:38:12.262766,04:05:50,70,31,43,42,0.5019885495807097,0.4366945616670243,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,37,35,35.75,936,0,2767,OFF,MAXN
Resnet-18,2024-11-01T18:38:13.265025,04:05:51,35,38,49,48,0.49874262177156314,0.4395326991393081,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,37,35,37,854,0,2686,OFF,MAXN
Resnet-18,2024-11-01T18:38:14.263090,04:05:52,51,69,33,49,0.49637567623496026,0.4421772405407339,0,0,11.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35.5,36,933,284,3327,OFF,MAXN
Resnet-18,2024-11-01T18:38:15.271361,04:05:53,35,41,78,56,0.49546713177836244,0.44276851918079296,0,0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,38,36,36,36.25,1811,763,4702,OFF,MAXN
Resnet-18,2024-11-01T18:38:16.274688,04:05:54,34,39,20,40,0.4955804534839034,0.44307083422740384,0,0,83.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,38,37.5,36.5,37.5,1433,2702,6597,OFF,MAXN
Resnet-18,2024-11-01T18:38:17.270143,04:05:55,32,19,31,36,0.49547501502744357,0.44306701952650024,0,0,64.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,39,37.5,36,38,1313,2392,5720,OFF,MAXN
Resnet-18,2024-11-01T18:38:18.274792,04:05:56,25,22,37,40,0.4956011470127413,0.44306129747514483,0,0,55.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,38.5,38,36,38,1353,2352,5680,OFF,MAXN
Resnet-18,2024-11-01T18:38:19.274479,04:05:57,31,20,45,35,0.4956218405415792,0.44305748277424123,0,0,45.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,39,38,36.5,37.75,1238,2160,5448,OFF,MAXN
Resnet-18,2024-11-01T18:38:20.280976,04:05:58,17,21,22,66,0.49570954168760656,0.4430555754237894,0,0,0.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,39,38,36.5,38.25,1357,1920,5830,OFF,MAXN
Resnet-18,2024-11-01T18:38:21.278272,04:05:59,22,22,65,18,0.49573713305939043,0.4430527143981117,0,0,71,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,39,38,36.5,38.25,1395,2623,6518,OFF,MAXN
Resnet-18,2024-11-01T18:38:22.274188,04:06:00,30,22,22,46,0.4956563297563091,0.4430517607228858,0,0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,39.5,38,37,38.5,1433,2662,6557,OFF,MAXN
Resnet-18,2024-11-01T18:38:23.275235,04:06:01,47,25,18,26,0.4958090677072555,0.4430508070476599,0,0,53.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,39.5,38,37,38.25,1311,2551,5830,OFF,MAXN
Resnet-18,2024-11-01T18:38:24.283239,04:06:02,51,22,26,19,0.4957164395305525,0.4430460386715304,0,0,31.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,38.5,38.5,37,38.25,1520,2113,6060,OFF,MAXN
Resnet-18,2024-11-01T18:38:25.287644,04:06:03,58,20,26,19,0.4958001990520393,0.4430422239706268,0,0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,39.5,38,36.5,38.25,1309,2821,6180,OFF,MAXN
Resnet-18,2024-11-01T18:38:26.283147,04:06:04,50,16,32,22,0.4958514401710665,0.443040317,0,0,99.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,39,38,37,38.5,1311,2627,5950,OFF,MAXN
Resnet-18,2024-11-01T18:38:27.288969,04:06:05,20,29,59,19,0.49578837417841765,0.4430365019192714,0,0,91.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,39.5,38.5,37,38.75,1313,2352,5640,OFF,MAXN
Resnet-18,2024-11-01T18:38:28.282939,04:06:06,35,15,39,32,0.49555680373666006,0.4430345945688196,0,0,86.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,39,38.5,37,38.5,1273,2432,5760,OFF,MAXN
Resnet-18,2024-11-01T18:38:29.286418,04:06:07,54,28,24,17,0.49571545412441737,0.4430317335431419,0,0,32.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,40,38.5,37,39,1480,2192,6170,OFF,MAXN
Resnet-18,2024-11-01T18:38:30.285287,04:06:08,67,24,18,16,0.4956789940974172,0.44303078,0,0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,39.5,38,37.5,38.75,1351,2547,5870,OFF,MAXN
Resnet-18,2024-11-01T18:38:31.291240,04:06:09,31,16,52,19,0.4956720962544713,0.4430298261926901,0,0,0.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,39.5,39,37.5,38.75,1397,1920,5790,OFF,MAXN
Resnet-18,2024-11-01T18:38:32.288686,04:06:10,20,23,53,29,0.4955784826716331,0.4430288725174642,0,0,21.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,39.5,39,37,39.25,1522,1956,5901,OFF,MAXN
Resnet-18,2024-11-01T18:38:33.286245,04:06:11,22,21,36,46,0.49558242429617366,0.4430288725174642,0,0,83,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39.5,38.5,37,39.25,1391,2856,6676,OFF,MAXN
Resnet-18,2024-11-01T18:38:34.299696,04:06:12,31,18,47,28,0.4956267675722549,0.4430279188422383,0,0,99.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40,39,37.5,39,1313,2312,5680,OFF,MAXN
Resnet-18,2024-11-01T18:38:35.294143,04:06:13,30,23,49,25,0.49576078280663377,0.4430260114917865,0,0,44.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40,38.5,37.5,39.5,1275,2196,5528,OFF,MAXN
Resnet-18,2024-11-01T18:38:36.296674,04:06:14,37,16,51,18,0.4958741045121747,0.4430241041413347,0,0,17,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39.5,39,37.5,39,1397,1920,5710,OFF,MAXN
Resnet-18,2024-11-01T18:38:37.295783,04:06:15,35,28,37,34,0.49583567367290426,0.4430241041413347,0,0,0.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40,39,38,39.25,1477,2312,6369,OFF,MAXN
Resnet-18,2024-11-01T18:38:38.294231,04:06:16,22,24,44,37,0.49574107468393097,0.44302315046610874,0,0,42.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,39,37.5,39.5,1435,2547,6478,OFF,MAXN
Resnet-18,2024-11-01T18:38:39.295364,04:06:17,21,18,45,36,0.49582976123609346,0.44302219679088284,0,0,99.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40.5,39,38,39.5,1433,2782,6409,OFF,MAXN
Resnet-18,2024-11-01T18:38:40.295331,04:06:18,36,19,22,45,0.4958061114888501,0.44302124311565694,0,0,86.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,39,38,39.5,1313,2392,5760,OFF,MAXN
Resnet-18,2024-11-01T18:38:41.300964,04:06:19,24,22,61,17,0.49573417684098503,0.44302028944043104,0,0,31.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40.5,39,38,39.75,1317,2080,5488,OFF,MAXN
Resnet-18,2024-11-01T18:38:42.298016,04:06:20,21,20,32,52,0.49570264384466056,0.44301933576520514,0,0,0.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,39.5,38,40,1320,1840,5600,OFF,MAXN
Resnet-18,2024-11-01T18:38:43.297334,04:06:21,52,17,28,22,0.49568392112809295,0.44301838208997923,0,0,89.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,39.5,38,39.75,1470,2856,6597,OFF,MAXN
Resnet-18,2024-11-01T18:38:44.304571,04:06:22,25,23,58,18,0.4957992136459042,0.44301742841475333,0,0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,39,38,40,1309,2667,6030,OFF,MAXN
Resnet-18,2024-11-01T18:38:45.301186,04:06:23,26,17,45,35,0.4958938126348775,0.44301647473952743,0,0,81.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,39,38,39.75,1391,2896,6528,OFF,MAXN
Resnet-18,2024-11-01T18:38:46.303981,04:06:24,43,20,21,45,0.49582384879928265,0.4430021696111389,0,0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,39,38,39.75,1313,2472,5790,OFF,MAXN
Resnet-18,2024-11-01T18:38:47.302907,04:06:25,37,24,47,19,0.4957578265882283,0.443001216,0,0,53.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,40,38.5,40.25,1355,2080,5368,OFF,MAXN
Resnet-18,2024-11-01T18:38:48.304771,04:06:26,35,21,20,43,0.4957331914348499,0.4430002622606871,0,0,0.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,39.5,39.5,38.5,39.75,1317,1920,5750,OFF,MAXN
Resnet-18,2024-11-01T18:38:49.306046,04:06:27,49,16,21,37,0.495663228,0.4429993085854612,0,0,84.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41,39.5,38.5,39.75,1433,2782,6676,OFF,MAXN
Resnet-18,2024-11-01T18:38:50.296141,04:06:28,70,19,14,21,0.4961983031306353,0.4434599337195718,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,38.5,38,40.25,975,162,2849,OFF,MAXN
Resnet-18,2024-11-01T18:38:51.298011,04:06:29,9,2,7,22,0.4960435943674185,0.4434179720096321,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,39,40,38,38.75,693,0,2245,OFF,MAXN
Resnet-18,2024-11-01T18:38:52.307895,04:06:30,12,4,2,21,0.49622490909628403,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,39,39.5,37.5,39.25,694,0,2245,OFF,MAXN
Resnet-18,2024-11-01T18:38:53.309526,04:06:31,26,8,4,2,0.496103704,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39.5,39.5,37.5,38.75,693,0,2245,OFF,MAXN
Resnet-18,2024-11-01T18:38:54.303525,04:06:32,10,22,7,2,0.49620323016131096,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,39,39.5,37.5,39,694,0,2123,OFF,MAXN
Resnet-18,2024-11-01T18:38:55.316272,04:06:33,9,10,23,2,0.4961953469122299,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39,39.5,37.5,39,694,0,2123,OFF,MAXN
Resnet-18,2024-11-01T18:38:56.335995,04:06:34,12,8,21,2,0.4961707117588514,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,39,39,37,38.75,694,0,1881,OFF,MAXN
Resnet-18,2024-11-01T18:38:57.318193,04:06:35,9,9,26,4,0.49606724411466185,0.4434170183344062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39.5,39.5,37.5,39,694,0,2123,OFF,MAXN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
Resnet-50,2024-11-01T18:16:24.691663,03:44:03,21,14,24,48,0.45230732846542704,0.29555825763536225,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,31.5,30.5,30.5,32.75,612,40,2082,OFF,MAXN
Resnet-50,2024-11-01T18:16:25.684606,03:44:04,14,7,24,2,0.4523684236458056,0.29555825763536225,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36,32,32.5,30.5,32.25,613,0,2000,OFF,MAXN
Resnet-50,2024-11-01T18:16:26.687714,03:44:05,9,5,2,22,0.4523763068948867,0.29555825763536225,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32.5,32.5,30.5,31.75,613,0,2003,OFF,MAXN
Resnet-50,2024-11-01T18:16:27.681559,03:44:06,7,7,3,24,0.4523684236458056,0.29555825763536225,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36,32.5,32.5,30.5,32,613,0,2003,OFF,MAXN
Resnet-50,2024-11-01T18:16:28.681972,03:44:07,78,17,10,18,0.4517013036923168,0.2942021314641299,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36,32,33,31,32.5,895,0,2686,OFF,MAXN
Resnet-50,2024-11-01T18:16:29.683048,03:44:08,93,11,13,26,0.44685212010129977,0.2939637126576544,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32,33,31,32.5,773,0,2605,OFF,MAXN
Resnet-50,2024-11-01T18:16:30.691670,03:44:09,93,20,8,23,0.44462313142361626,0.2954762415659347,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32.5,31,31,32.25,773,40,2645,OFF,MAXN
Resnet-50,2024-11-01T18:16:31.682194,03:44:10,64,8,40,19,0.44631802997605463,0.2930539064921441,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36,32,31,30.5,31.5,934,81,2885,OFF,MAXN
Resnet-50,2024-11-01T18:16:32.685487,03:44:11,55,19,18,33,0.45566756338624964,0.2916253010037432,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32.5,31,31,31.5,1056,81,2885,OFF,MAXN
Resnet-50,2024-11-01T18:16:33.700013,03:44:12,21,33,39,39,0.46090598240064645,0.30525713468278376,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32.5,31,31,31.25,1217,81,3164,OFF,MAXN
Resnet-50,2024-11-01T18:16:35.142166,03:44:13,57,25,96,23,0.46024280407169815,0.3053782514364733,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32,31,31.5,31.25,1016,40,3048,OFF,MAXN
Resnet-50,2024-11-01T18:16:35.693479,03:44:14,33,37,75,22,0.4614844158019728,0.309159574,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,31.5,31,31,31.5,934,40,2767,OFF,MAXN
Resnet-50,2024-11-01T18:16:36.700772,03:44:15,66,14,37,23,0.46151989042283775,0.32570393152611876,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32,31,31,31.25,814,40,2844,OFF,MAXN
Resnet-50,2024-11-01T18:16:37.689568,03:44:16,41,20,64,16,0.4627211005015717,0.3271373053906492,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36,33,31,31,31.5,732,40,2564,OFF,MAXN
Resnet-50,2024-11-01T18:16:38.702627,03:44:17,60,25,46,18,0.46411052315211715,0.3271306296640679,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,36.5,32.5,30.5,31.5,31.5,1097,40,3048,OFF,MAXN
